Case ID,Field family count,CSV field families detected,Tags,Case,JiraId
196082,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify the load is automatically booked when the cargo value field on the load is set to $100,001 to $250,000",FD-42022
196083,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify the load is not automatically booked when the cargo value field on the load is Not set to $100,001 to $250,000",FD-42022
196084,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify the load is automatically booked when the cargo value field on the load is Not set to $100,001 to $250,000",FD-42022
262112,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads",Verify the drop trailer field is visible on pick tab for TL (Edit mode),FD-43456
262113,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads",Verify the drop trailer field is visible on Drop tab for TL (Edit mode),FD-43456
262114,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads",Verify the drop trailer field is visible on pick tab for TL (View mode),FD-43456
262115,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads",Verify the drop trailer field is visible on Drop tab for TL (View mode),FD-43456
262116,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads","Verify that when a load with method TL is in edit mode, selecting YES for the Drop Trailer field for Pick and clicking S",FD-43456
262117,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads","Verify that when a load with method TL is in edit mode, selecting YES for the Drop Trailer field for Drop and clicking S",FD-43456
262118,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads","Verify that when a load with method TL is in edit mode, selecting YES for the Drop Trailer field for intermediate Pick a",FD-43456
262119,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads","Verify that when a load with method TL is in edit mode, selecting YES for the Drop Trailer field for intermediate Drop a",FD-43456
262120,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads","Verify that when a load with method TL is in edit mode, selecting NO for the Drop Trailer field for Pick and clicking Sa",FD-43456
262121,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads","Verify that when a load with method TL is in edit mode, selecting NO for the Drop Trailer field for Drop and clicking Sa",FD-43456
262122,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads","Verify that when a load with method TL is in edit mode, selecting NO for the Drop Trailer field for intermediate Pick an",FD-43456
262123,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads","Verify that when a load with method TL is in edit mode, selecting NO for the Drop Trailer field for intermediate Drop an",FD-43456
262124,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads",Verify that when a load with method TL is in edit mode and the Drop Trailer field at the load�s pick is modified and sav,FD-43456
262125,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads",Verify that when a load with method TL is in edit mode and the Drop Trailer field at the load�s drop is modified and sav,FD-43456
262126,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads",Verify that when a load with method TL is in edit mode and the Drop Trailer field at the load�s intermediate Pick is mod,FD-43456
262127,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads",Verify that when a load with method TL is in edit mode and the Drop Trailer field at the load�s intermediate Drop is mod,FD-43456
336274,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify when automatically Book a Load and that load is matched in TNX, then a new link which directs the recipient to th",FD-33783
336275,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify when automatically Book a Load and that a bid entered for that load is accepted, then a new link which directs th",FD-33783
336276,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify when automatically Book a Load and that load is matched in TNX with one or more carrier, then a new link which di",FD-33783
336278,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify when automatically Book a Load and that load is matched in TNX with auto accept configured, then a new link which",FD-33783
336279,8,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads",Verify when a load is Manually Booked in the BTMS,FD-33783
133770,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133771,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133772,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133773,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133774,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133775,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133776,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133777,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133778,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133779,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133780,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133781,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133782,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
133783,5,"customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName","carrierautoaccept,carriers,dfb,sso",Verify the Display Loadboard Users in the Carrier Contact for Rate Confirmation Field on a Post Automation Rule and load,FD-40786
262086,3,"customerName, loadMethod, shipmentCommodityQty",handlingunit,Verify that the first HU added to a previously empty load is recognized as an addition,FD-43175
262093,3,"customerName, loadMethod, shipmentCommodityQty",handlingunit,Verify any HU change triggers a Banyan PUT even on BOOKED loads not yet e-dispatched,FD-43175
27450,3,"customerName, loadId, shipperZip_or_consigneeZip","edi204,ediprefs","Verify when “Stops (including fees & items)” is selected on customer EDI Pref's, the load’s stops are completely removed",FD-34965
27451,3,"customerName, loadId, shipperZip_or_consigneeZip","edi204,ediprefs",Verify when other stops options other than “Stops (including fees & items)” are selected in the customer EDI Pref's and ,FD-34965
27452,3,"customerName, loadId, shipperZip_or_consigneeZip","edi204,ediprefs","Verify when the 204's location IDs do not match the load exactly (something with the stop order or location changed), an",FD-34965
366470,3,"customerName, loadMethod, shipperZip_or_consigneeZip","banyan,hazmat",Carrier change re-rates hazmat load with hazmat charges on Banyan v3,FD-45183
366505,3,"customerName, loadMethod, shipmentCommodityWeight","banyan,ltl",Volume-qualified load with gate ON returns multi-carrier quotes,FD-44982
366506,3,"customerName, loadMethod, shipmentCommodityWeight","banyan,ltl",Volume-qualified load with gate OFF is unchanged,FD-44982
72313,3,"customerName, loadMethod, officeName",createtl,"Verify if a customer is configured with Office Credit, then “Avail Credit” to be displayed based on Corp Credit Limit Fi",FD-37198
72314,3,"customerName, loadMethod, officeName","customersearch,loadsearch","Verify if a customer is configured with Office Credit, then “Avail Credit” to be displayed based on Corp Credit Limit Fi",FD-37198
72315,3,"customerName, loadMethod, officeName","customersearch,loadsearch","Verify that ""Office Credit "" field is not displayed below the Corp  Credit Limit field on the “ENTER NEW LOAD” rendered ",FD-37198
8026,3,"loadId, offerRate_or_linehaul, shipperZip_or_consigneeZip","admintools,loads","Verify that creating a EDI load ending in '0' and trigger outbound EDI transactions (204, 214, 404, 990, 210) from BTMS ",FD-33646
82726,3,"customerName, loadMethod, officeName","creditlimitmonitoring,customersearch",Verify that customers included in daily batch export have their available credit limit evaluated and logged to customer ,FD-37889
82727,3,"customerName, loadMethod, officeName","creditlimitmonitoring,customersearch",Verify that warning email is triggered for customers whose available corp credit is ≤ configured percentage of corp limi,FD-37889
82738,3,"customerName, loadMethod, officeName","creditlimitmonitoring,customersearch",Verify that no credit warning email is sent if the “credit warning email sent” flag is already set for the customer.,FD-37956
86953,3,"customerName, loadMethod, officeName","creditlimitmonitoring,customersearch",Validate outbound file extraction when Available Credit ≤ 0 after TMS Balance update,FD-37994
86954,3,"customerName, loadMethod, officeName","creditlimitmonitoring,customersearch",Validate outbound file extraction when Available Credit changes from zero/negative to positive due to TMS Balance update,FD-37994
