Case ID,JiraId,Tags,Primary tag,Case,Issue2 Incomplete procedure,Issue3 Role/cross-app,Issue4 Unclear Expected/screens,Other-issue count,Clean of issues 2-4,Agent category tag?,Steps chars,Step count,Expected chars,Has login wording,Has hover wording,CSV field count,Gold closeness,Depth % of gold median
27505,FD-35574,loadreports,loadreports,Verify when editor changes the configuration of columns in the shared report by any of the following- 1.Adding columns  ,N,Y,N,1,N,N,1021,0,571,Y,N,0,26.4,27.6
27484,FD-33389,"agentsearch,sso",agentsearch,"Validate User is able to delink/remove the email id present in the dropdown of  ""SSO Account"" field.",Y,N,N,1,N,N,353,0,125,Y,N,0,26.3,9.5
89139,FD-39074,officeconfig,officeconfig,Verify all agents are available in dropdowns on first render without refresh under Individual Viewers.,N,Y,N,1,N,N,319,0,116,Y,N,0,25.9,8.6
89140,FD-39074,officeconfig,officeconfig,Verify all agents are available in dropdowns on first render without refresh under Individual Editors.,N,Y,N,1,N,N,319,0,116,Y,N,0,25.9,8.6
27513,FD-33640,sso,sso,Verify SSO Login Functionality,Y,N,N,1,N,N,121,1,64,Y,N,0,25.4,3.3
27471,FD-33262,"sso,switchaccount",sso,Check if users all agent accounts are sync with same email address.,Y,Y,N,2,N,N,312,0,75,Y,N,0,25.3,8.4
27651,FD-33300,sharereport,sharereport,Verify Saved Reports visibility and sorting logic in dropdown,Y,N,N,1,N,N,440,1,321,Y,N,0,25.2,11.9
7743,FD-33414,forgotpassword,forgotpassword,Validate login after resetting password,Y,N,N,1,N,N,66,1,75,Y,N,0,25.1,1.8
171190,FD-36513,sharereport,sharereport,Row click (non-Dispatch Note area) still opens Load Details,Y,N,N,1,N,N,304,4,55,Y,N,0,24.8,8.2
27466,FD-33261,"sso,switchaccount",sso,Check if user is able to switch between different accounts.,Y,Y,N,2,N,N,236,0,50,Y,N,0,24.4,6.4
27524,FD-33496,loadreports,loadreports,Validating the behavior when a Shared Report Group gets unselected from an existing shared report.,N,Y,N,1,N,N,251,1,141,Y,N,0,24.4,6.8
349935,FD-39556,emaildocsforload,emaildocsforload,Auto-book REEFER load – Actual email received by carrier contains only carrier confirmation attachment,Y,N,N,1,N,N,468,8,286,Y,N,1,24.1,12.7
150290,FD-40550,truckertools,truckertools,Verify TT alerts are sent to Dispatcher when AM field is not present.,Y,N,N,1,N,N,254,5,70,Y,N,0,23.3,6.9
7779,FD-32549,rateandmatch,rateandmatch,"Verfity that below field are present on the Carrier and Rate Match IF Greenscreens is enabled for that office then:

The",Y,N,N,1,N,N,486,0,462,N,N,0,23.0,13.1
27525,FD-33496,loadreports,loadreports,"Verifying If  viewers or editors are unselected for the existing report, the S icon should be removed wherever the repor",N,Y,N,1,N,N,424,1,137,Y,N,0,22.6,11.5
27627,FD-33060,loadimportutility,loadimportutility,Verify Render Load Details for SUCCESS Status for import.,Y,Y,N,2,N,N,339,3,59,Y,N,0,21.8,9.2
150291,FD-40550,truckertools,truckertools,Verify AM takes precedence when both AM and Dispatcher are present.,Y,N,N,1,N,N,235,4,70,Y,N,0,21.5,6.4
366501,FD-35902,"customers,leads",customers,Verify expiration date is NOT updated when status changes from ACTIVATE to CLEARED,Y,Y,N,2,N,N,329,6,156,N,N,0,21.4,8.9
150289,FD-40550,truckertools,truckertools,Verify TT alerts are sent to AM when AM field is present on the load.,Y,N,N,1,N,N,223,4,61,Y,N,0,21.3,6.0
